State,Representative (District),Age 0 to 17 with Pre-existing Condition,Age 18 to 24 with Pre-existing Condition,Age 25 to 34 with Pre-existing Condition,Age 35 to 44 with Pre-existing Condition,Age 45 to 54 with Pre-existing Condition,Age 55 to 64 with Pre-existing Condition,Nonelderly with Pre-existing Condition,Percent of Nonelderly with Pre-existing Condition
National,all districts,"  17,556,000 ","  11,494,000 ","  19,896,000 ","  23,454,000 ","  30,734,000 ","  30,560,000 ","  134,000,000 ",0.51
Alabama,Bradley Byrne (AL-1),"  39,200 ","  22,300 ","  40,700 ","  49,700 ","  63,500 ","  65,100 ","  280,500 ",0.5
Arizona,Martha McSally (AZ-2),"  33,900 ","  27,000 ","  39,300 ","  43,800 ","  61,700 ","  74,600 ","  280,300 ",0.51
Florida,Gus M. Bilirakis (FL-12),"  33,800 ","  17,900 ","  36,900 ","  49,400 ","  70,200 ","  68,900 ","  277,000 ",0.52
Florida,Charlie Crist (FL-13),"  29,200 ","  19,500 ","  37,700 ","  45,700 ","  73,100 ","  75,400 ","  280,500 ",0.54
Florida,Kathy Castor (FL-14),"  41,400 ","  26,700 ","  51,100 ","  58,200 ","  71,200 ","  60,100 ","  308,800 ",0.5
Florida,Dennis A. Ross (FL-15),"  40,200 ","  24,000 ","  45,600 ","  53,600 ","  67,400 ","  61,800 ","  292,600 ",0.5
Florida,Vern Buchanan (FL-16),"  33,900 ","  19,400 ","  36,900 ","  46,200 ","  66,400 ","  71,500 ","  274,300 ",0.52
Florida,Thomas J. Rooney (FL-17),"  30,500 ","  17,500 ","  32,200 ","  40,900 ","  60,400 ","  71,700 ","  253,100 ",0.53
Florida,Brian J. Mast (FL-18),"  34,500 ","  19,300 ","  36,500 ","  46,900 ","  68,100 ","  67,000 ","  272,400 ",0.52
Florida,Francis Rooney (FL-19),"  33,600 ","  18,500 ","  36,900 ","  45,600 ","  64,000 ","  71,600 ","  270,200 ",0.52
Florida,Alcee L. Hastings (FL-20),"  37,200 ","  21,500 ","  43,800 ","  54,600 ","  74,000 ","  63,900 ","  294,900 ",0.51
Florida,Lois Frankel (FL-21),"  34,700 ","  19,500 ","  39,400 ","  49,500 ","  69,100 ","  63,800 ","  276,000 ",0.52
Arizona,Raúl M. Grijalva (AZ-3),"  49,600 ","  35,300 ","  50,800 ","  55,000 ","  62,900 ","  55,800 ","  309,400 ",0.47
